José Ortega y Gasset visited Husserl at Freiburg in 1934 .	1934 besuchte José Ortega y Gasset Husserl in Freiburg .	José Ortega y Gasset besuchte Husserl in Freiburg im Jahr 1934 .	0.33
other whales with a blunt snout and reduced dentition rely on suction feeding .	andere Wale mit stumpfer Schnauze und reduziertem Gebiss sind auf Saugfütterung angewiesen .	andere Wale mit stumpfer Schnauze und reduziertem Gebiss sind auf Saugfütterung angewiesen .	0.00
Gen. Edward Walthall advanced along the Alexander 's Bridge Road , smashing Baird 's right flank .	Gen. Edward Walthall schritt entlang der Alexander ' s Bridge Road und zerschlug Baird ' s rechte Flanke .	General Edward Walthall schritt die Alexander ' s Bridge Road entlang und zerschmetterte Bairds rechte Flanke .	0.41
other possibilities included continued skirmishes or ambushes during routine patrolling , or an attempt to interdict a resupply convoy from Vũng Tàu .	weitere Möglichkeiten waren fortgesetzte Scharmützel oder Hinterhalte während des Routinepatrouillierens oder der Versuch , einen wiederkehrenden Konvoi von Vاng Tàu zu widersprechen .	andere Möglichkeiten waren anhaltende Scharmützel oder Angriffe aus dem Hinterhalt während der Routinepatrouillen oder der Versuch , einen Nachschubkonvoi von Vũng Tàu zu unterbinden .	0.48
overall , " Nearly 8 million servicemen and servicewomen were educated under the provisions of the GI Bill after World War II .	insgesamt " wurden nach dem Zweiten Weltkrieg fast 8 Millionen Soldaten und Soldaten nach den Bestimmungen des GI Bill ausgebildet .	insgesamt „ wurden nach dem Zweiten Weltkrieg fast 8 Millionen Soldaten und Soldatenfrauen nach den Bestimmungen des GI-Gesetzes ausgebildet .	0.20
a Moro fleet from Tonquil , together with some praus , in 1850 , raided the islands of Samar and Camiguin , carrying off 75 natives .	1850 plünderte eine Moro-Flotte aus Tonquil zusammen mit einigen Praus durch die Inseln Samar und Camiguin und brachte 75 Eingeborene davon .	eine Moro-Flotte von Tonquil , zusammen mit etwas praus , 1850 überfiel die Inseln von Samar und Camiguin und trug 75 Eingeborene weg .	0.46
the army faced mutinies from the East Pakistan Rifles and the Bengali police .	die Armee sah sich Meutereien der ostpakistanischen Gewehre und der bengalischen Polizei gegenüber .	die Armee sah sich Meutereien der ostpakistanischen Gewehre und der bengalischen Polizei gegenüber .	0.00
Rhode Island started enlisting slaves in 1778 , and promised compensation to owners whose slaves enlisted and survived to gain freedom .	Rhode Island begann 1778 Sklaven anzuwerben und versprach Besitzern eine Entschädigung , deren Sklaven sich für die Freiheit einsetzten und überlebten .	Rhode Island begann 1778 , Sklaven zu verpflichten , und versprach den Besitzern , deren Sklaven sich verpflichteten , überlebten und die Freiheit erlangten , eine Entschädigung .	0.43
Dahaka then begins toying with Mihael , trying to manipulate his emotions to foster rage , to turn him into a dragon .	Dahaka beginnt dann mit Mihael zu spielen und versucht , seine Emotionen zu manipulieren , um Wut zu schüren und ihn in einen Drachen zu verwandeln .	dann beginnt Dahaka mit Mihael zu spielen und versucht , seine Gefühle zu manipulieren , um ihn wütend zu machen und ihn in einen Drachen zu verwandeln .	0.21
similarly , Sagamore was in common frequency as sachem in the early English of New England .	ähnlich war Sagamore in der Häufigkeit als Sachem im frühen Englisch von Neuengland .	in ähnlicher Weise war „ Sagamore “ als „ Sachem “ im frühen Englisch Neuenglands weit verbreitet .	0.61
the Third Test in Delhi saw a flat pitch , where India scored 7 / 613 in its first innings in which Ponting resorted to bowling himself for two overs .	der dritte Test in Delhi sah eine flache Seillänge , wo Indien erzielte 7 / 613 in seinen ersten Innings , in denen Ponting griff auf Bowling sich für zwei Overs .	der dritte Test in Delhi sah einen flachen Platz , wo Indien 7 / 613 in seinen ersten Innings erzielte , in denen Ponting sich für zwei Overs bowlen ließ .	0.29
under Sutawijaya , Mataram grew substantially through military campaigns against Mataram 's overlord of Pajang and Pajang 's former overlord , Demak .	unter Sutawijaya wuchs Mataram beträchtlich durch militärische Kampagnen gegen Matarams Oberherren Pajang und Pajangs ehemaligen Oberherren Demak .	unter Sutawijaya wuchs Mataram erheblich durch militärische Kampagnen gegen Matarams Oberherrn von Pajang und Pajangs früheren Oberherrn Demak .	0.26
he became known as Peeping Tom thus originating a new idiom , or metonym , in English .	er wurde bekannt als Peeping Tom und entstand so ein neues Idiom oder Metonym , in englischer Sprache .	er wurde als Peeping Tom bekannt , wodurch eine neue Sprache oder ein neues Metonym in englischer Sprache entstand .	0.40
Aurangzeb displayed a particular animus towards Hindus and their temples .	Aurangzeb zeigte einen besonderen Animus gegenüber Hindus und ihren Tempeln .	Aurangzeb zeigte einen besonderen Hass auf Hindus und ihre Tempel .	0.36
meanwhile , Gorast could only stare at the storm , shocked by the betrayal of her idol .	unterdessen konnte Gorast nur auf den Sturm starren , schockiert vom Verrat an ihrem Idol .	in der Zwischenzeit konnte Gorast nur auf den Sturm starren , geschockt vom Verrat ihres Idols .	0.41
understudy Constance Carpenter began replacing her in matinee performances .	Constance Carpenter begann sie in Matinee Performances zu ersetzen .	die Zweitbesetzung Constance Carpenter begann , sie bei Matinee-Aufführungen zu ersetzen .	0.50
after a Federal counterattack recaptured Battery Powell , Van Dorn ordered a general retreat .	nach einem föderalen Gegenangriff rekapitulierte Van Dorn Battery Powell und befahl einen allgemeinen Rückzug .	nach einem Gegenangriff der Bundesregierung auf Battery Powell ordnete Van Dorn einen allgemeinen Rückzug an .	0.50
over the Northern Territory of Australia , Royal Australian Air Force and RAF Spitfires assigned to No .	über das Northern Territory of Australia wurden Royal Australian Air Force und RAF Spitfire der Nummer 1 zugeordnet .	über dem Nordterritorium Australiens [ halfen ] die Royal Australian Air Force und die der 1 Wing RAAF zugeteilten Spitfires der RAF ( ... )	0.72
working outside of his own Santana Productions , Bogart starred with Katharine Hepburn in the John Huston directed The African Queen in 1951 .	Bogart arbeitete außerhalb seiner eigenen Santana Productions , spielte 1951 mit Katharine Hepburn in der John Huston Regie The African Queen .	Bogart arbeitete außerhalb seiner eigenen Santana Productions und spielte 1951 mit Katharine Hepburn unter der Regie von John Huston bei The African Queen mit .	0.24
) , with the wings wrapped around , adjacent to the antennae .	) , mit den Flügeln umwickelt , neben den Antennen .	) , mit den Flügeln umwickelt , neben den Antennen .	0.00
flood , Forsch , Kissell and Simmons announced as new Cardinals Hall of Fame inductees	Flut , Forsch , Kissell und Simmons als neue Kardinäle Hall of Fame induziert	Flood , Forsch , Kissell und Simmons wurden als neue Kandidaten in die Cardinals Hall of Fame aufgenommen	0.39
Zaktan recruits his five fellow Skakdi and rebel against the Hunters .	Zaktan rekrutiert seine fünf Kollegen Skakdi und rebelliert gegen die Jäger .	Zaktan rekrutiert seine fünf Mitstreiter Skakdi und rebelliert gegen die Jäger .	0.08
of the oil sketches executed later by him , only nine survive , along with five large unfinished canvasses .	von den Ölskizzen , die später von ihm ausgeführt wurden , überleben nur neun , zusammen mit fünf großen unfertigen Leinwänden .	von den später von ihm angefertigten Ölskizzen sind nur neun erhalten , zusammen mit fünf großen unvollendeten Leinwänden .	0.47
furthermore , depletion or inhibition of dopamine in neurons of the nucleus accumbens decreases appetitive but not consummatory behaviour .	darüber hinaus verringert die Demontage oder Hemmung von Dopamin in Neuronen des Nukleus accumbens das appetitive , aber nicht konsumorientierte Verhalten .	darüber hinaus verringert die Erschöpfung oder Hemmung von Dopamin in Neuronen des Nucleus accumbens das appetitliche , aber nicht das konsumierende Verhalten .	0.22
he overpowers Glen until Gant and Kageri arrive to support him , retreating before Glen lands the deathblow .	er überwältigt Glen , bis Gant und Kageri ankommen , um ihn zu unterstützen , bevor Glen den Todesstoß landet .	er überwältigt Glen , bis Gant und Kageri eintreffen , um ihn zu unterstützen , und zieht sich zurück , bevor Glen den Todesstoß landet .	0.23
Octavio Roca , " Passion , Possession in Stunning Bolero , Oakland revives steamy Nijinska ballet " , in SF Gate , Oct. 23 , 1995 .	Octavio Roca , " Passion , Possession in Atemberaubende Bolero , Oakland belebt dampfende Nijinska Ballett " , in SF Gate , 23. Oktober 1995 .	Octavio Roca , " Leidenschaft , Besitz im atemberaubenden Bolero , Oakland belebt dampfendes Nijinska-Ballett " , in SF Gate , 23. Oktober , 1995 .	0.31
Christ 's followers , however , he damned as " arrogant " .	die Nachfolger Christi jedoch verdammten er als " arrogant " .	die Nachfolger Christi jedoch verdammte er als " arrogant " .	0.09
he became a scoutmaster , forming the First Yarra Troop .	er wurde ein Pfadfinder und bildete die Erste Yarra Truppe .	er wurde Pfadfinderführer und rief die Erste Yarra-Truppe ins Leben .	0.55
English zoologist Frederick Nutter Chasen classified all three as subspecies of the Asian elephant in 1940 .	der englische Zoologe Frederick Nutter Chasen klassifizierte 1940 alle drei als Unterarten des asiatischen Elefanten .	der englische Zoologe Frederick Nutter Chasen klassifizierte 1940 alle drei als Unterarten des asiatischen Elefanten .	0.00
commentators James Bardolph Anders Blume Henry " HenryG " Greer Daniel " DDK " Kapadia Auguste " Semmler " Massonnat Matthew " Sadokist " Trivett	Kommentatoren James Bardolph Anders Blume Henry " HenryG " Greer Daniel " DDK " Kapadia Auguste " Semmler " Massonnat Matthew " Sadokist " Trivett	Kommentatoren James Bardolph Anders Blume Henry " HenryG " Greer Daniel " DDK " Kapadia Auguste " Semmler " Massonnat Matthew " Sadokist " Trivett	0.00
unlike Jack , Sawyer sympathizes with Kate 's actions .	anders als Jack sympathisiert Sawyer mit Kates Handlungen .	im Gegensatz zu Jack sympathisiert Sawyer mit Kates Handlungen .	0.30
they narrate myths , caste myths , or other narratives only to their patrons .	Sie erzählen Mythen , Kastenmythen oder andere Erzählungen nur ihren Gönnern .	Sie erzählen Mythen , Kastenmythen oder andere Erzählungen nur ihren Gönnern .	0.00
southern pied babblers Turdoides bicolor appear to avoid inbreeding in two ways .	südliche Rattenbabblers Turdoides bicolor scheinen Inzucht in zweierlei Hinsicht zu vermeiden .	zweifarbige Turdoides-Rattenschwätzer aus dem Süden scheinen Inzucht auf zweierlei Weise zu vermeiden .	0.54
often cited as immature were Helen 's discussion about virginity in 1.1 and the rhyming couplets in 2.1 and 2.2 .	oft als unreif zitiert wurden Helens Diskussion über Jungfräulichkeit in 1.1 und die Reimkupplungen in 2.1 und 2.2 .	oft als unreif bezeichnet wurden Helens Diskussion über Jungfräulichkeit in 1.1 und die Reimpaare in 2.1 und 2.2 .	0.11
in Alabama , KKK vigilantes launched a wave of physical terror in 1927 .	in Alabama lösten KKK-Wachleute 1927 eine Welle des physischen Terrors aus .	in Alabama haben die KKK - Wächter eine Welle des physischen Terrors ausgelöst 1927 .	0.47
series two premiered on 28 September 2008 on BBC Two and on 3 November 2008 on ABC1 .	Serie zwei uraufgeführt am 28. September 2008 auf BBC Two und am 3. November 2008 auf ABC1 .	die zweite Serie wurde am 28. September 2008 uraufgeführt auf BBC Zwei und am 3. November 2008 auf ABC1 .	0.25
two curved terraces , paralleling the shoreline and running perpendicularly to the spokes of the " fan " , divide the grove into plateaus .	zwei geschwungene Terrassen , die parallel zur Küste verlaufen und senkrecht zu den Speichen des " Ventilators " verlaufen , teilen den Hain in Hochebenen .	zwei gekrümmte Terrassen , die parallel zur Küste verlaufen und senkrecht zu den Speichen des " Fächers " verlaufen , unterteilen den Hain in Hochebenen .	0.12
this process occurs in the pulmonary capillaries adjacent to the alveoli of the lungs .	dieser Prozess tritt in den Lungenkapillaren neben den Lungenalveolen auf .	dieser Vorgang findet in den Lungenkapillaren neben den Lungenbläschen statt .	0.36
olfaction interacts with other sensory modalities in significant ways .	die Alterung interagiert auf bedeutende Weise mit anderen sensorischen Modalitäten .	Olfaction interagiert auf signifikante Weise mit anderen sensorischen Modalitäten .	0.30
along the Intracoastal Waterway , many boats capsized or crashed into the seawall .	entlang des Intracoast Waterways kentern oder stürzten viele Boote in die Meereswand .	entlang der Intracoastal Waterway kenterten viele Boote oder stießen gegen den Ufermauer .	0.69
in June 2016 , with the Democratic primaries nearly complete , Obama endorsed former Secretary of State Hillary Clinton as his successor .	im Juni 2016 , als die demokratischen Vorwahlen fast vollständig waren , unterstützte Obama die ehemalige Außenministerin Hillary Clinton als seinen Nachfolger .	im Juni 2016 , als die demokratischen Vorwahlen fast abgeschlossen waren , billigte Obama die frühere Außenministerin Hillary Clinton als seine Nachfolgerin .	0.22
the Dartmouth chapter dissociated from the national fraternity in 1987 .	1987 distanzierte sich das Dartmouth-Kapitel von der nationalen Brüderlichkeit .	das Dartmouth-Kapitel hat sich von der nationalen Bruderschaft 1987 .	0.40
he resigned as Prime Minister in June 1885 and declined Queen Victoria 's offer of an earldom .	im Juni 1885 trat er als Premierminister zurück und lehnte das Angebot der Königin Victoria ab .	er trat als Premierminister im Juni 1885 ab und lehnte das Angebot von Königin Victoria einer Grafschaft ab .	0.32
negative depictions of machismo in popular literature	negative Darstellung des Machismo in der Populärliteratur	negative Darstellungen des Machismus in der Populärliteratur .	0.38
Butler 's Army of the James bogged down against inferior forces under P.G.T .	Butler ' s Army of the James gegen minderwertige Kräfte unter P.G.T. festgefahren	die Butler ' s Army of the James hat sich unter PGT gegen minderwertige Streitkräfte geschlagen	0.44
in Literary Interpretations of Biblical Narratives .	in literarischen Interpretationen biblischer Narrative .	in literarischen Interpretationen biblischer Erzählungen .	0.17
her traditional putdown , " ' Tain 't funny McGee ! , " appears in the very first episode .	ihr traditioneller Putdown " Tain ' t funny McGee ! " erscheint in der allerersten Folge .	ihr traditionelles Putdown " Tain ' t funny McGee ! , " erscheint in der allerersten Folge .	0.11
the Prussian led the Fusilier battalions Greiffenberg Nr .	der Preußische führte die Fusilier Bataillone Greiffenberg Nr .	der Preuße führte die Füsilierbataillone Greiffenberg Nr .	0.38
at its height , it contained three competing major amusement parks — Luna Park , Dreamland , and Steeplechase Park — as well as many independent amusements .	auf seiner Höhe , es enthielt drei konkurrierenden großen Vergnügungsparks UKLuna Park , Dreamland , und Steeplechase Park sowie viele unabhängige Vergnügungen .	in seiner Blütezeit enthielt er drei miteinander konkurrierende große Vergnügungsparks - Luna Park , Dreamland und Steeplechase Park - sowie viele unabhängige Vergnügungen .	0.50
in the West Bengal Legislative Assembly election , 1972 RCPI fielded its three incumbent legislators ; Mukherjee , Kumar and Mal .	bei den Parlamentswahlen in Westbengalen setzte 1972 die RCPI ihre drei amtierenden Gesetzgeber ein : Mukherjee , Kumar und Mal .	bei den Wahlen zur gesetzgebenden Versammlung in Westbengalen setzte 1972 RCPI seine drei amtierenden Gesetzgeber ein . Mukherjee , Kumar und Mal .	0.30
Cygnus Wing 's manga personality exhibits a mixture of effeminate mannerisms and slight sadism .	Cygnus Wings Manga-Persönlichkeit weist eine Mischung aus effeminierten Manieren und leichtem Sadismus auf .	die Manga-Persönlichkeit von Cygnus Wing zeigt eine Mischung aus weiblichem Manierismus und leichtem Sadismus .	0.53
from 1887 , anarchists began to outnumber socialists in the Socialist League .	ab 1887 übertrafen die Anarchisten die Sozialisten in der Sozialistischen Liga .	von 1887 begannen Anarchisten , Sozialisten in der sozialistischen Liga zu überwiegen .	0.54
the entablature depicts allegories of the main rivers of the region , the Po , Ticino , Adige and Tagliamento , sculpted by Pompeo Marchesi .	die Entablatur zeigt Allegorien der wichtigsten Flüsse der Region , Po , Tessin , Etsch und Tagliamento , die von Pompeo Marchesi geformt wurden .	das von Pompeo Marchesi geschaffene Gebälk zeigt Allegorien der wichtigsten Flüsse der Region , des Po , des Tessins , der Etsch und des Tagliamento .	0.50
Corll approached Henley , saying , " Kill me , Wayne ! "	Corll näherte sich Henley und sagte : " töte mich , Wayne ! "	Corll ging auf Henley zu und sagte : " töte mich , Wayne ! "	0.20
Lewis and Daniel classified megaliths into four different categories .	Lewis und Daniel klassifizierten Megalithen in vier verschiedene Kategorien .	Lewis und Daniel klassifizierten Megalithen in vier verschiedene Kategorien .	0.00
cubs also die from starvation and abandonment , and predation by leopards , hyenas and wild dogs .	auch Jungtiere sterben an Hunger und Verlassenheit und Raub durch Leoparden , Hyänen und wilde Hunde .	Jungtiere sterben auch an Hunger und Aussetzung sowie als Beute von Leoparden , Hyänen und Wildhunden .	0.47
the congregation and the other colonists finally boarded the Speedwell in July 1620 in the Dutch port of Delfshaven .	die Gemeinde und die anderen Kolonisten stiegen schließlich im Juli 1620 in den holländischen Hafen Delfshaven ein .	die Gemeinde und die anderen Kolonisten bestiegen schließlich im Juli 1620 im niederländischen Hafen von Delfshaven den Speedwell .	0.32
horticulturist Richard Cox lived in Colnbrook , where he bred his Cox 's Orange Pippin , a popular apple .	der Gartenbauer Richard Cox lebte in Colnbrook , wo er seinen Cox ' s Orange Pippin , einen beliebten Apfel , züchtete .	der Gärtner Richard Cox lebte in Colnbrook , wo er den beliebten Apfel Orange Pippin seines Cox züchtete .	0.47
Wilks , Samuel , " Evolution of the stethoscope " , Popular Science , vol .	Wilks , Samuel , " Evolution of the stethoscope " , Popular Science , vol .	Wilks , Samuel , " Evolution des Stethoskops " , Popular Science , vol .	0.20
Darius ascended the throne by overthrowing Gaumata , a claimed usurper .	Darius bestieg den Thron , indem er Gaumata , einen behaupteten Usurpator , stürzte .	Darius bestieg den Thron , indem er Gaumata , einen behaupteten Usurpator , stürzte .	0.00
rallying all of Cobra with him , Destro assaults Cobra Island and helps defeat the Coil .	destro greift Cobra Island an und hilft dabei , die Coil zu besiegen .	destro versammelt die gesamte Cobra mit ihm und greift Cobra Island an und hilft dabei , die Spule zu besiegen .	0.38
the artillery hardly ever maneuvered and never fired a blank shot .	die Artillerie manövrierte kaum und feuerte nie einen Blankoschuss ab .	die Artillerie manövrierte kaum und gab nie einen Warnschuss ab .	0.18
about 7500 m3 of pumice was mined in 1998 by the Great Pacific Pumice Incorporation .	etwa 7500 m3 Bimsstein wurden 1998 von der Great Pacific Pumice Incorporation abgebaut .	ungefähr 7500 m3 Bimsstein wurden in 1998 von der Great Pacific Pumice Incorporation abgebaut .	0.13
the transept apses each have a balcony with a concave balustrade .	die Querschiffapses haben jeweils einen Balkon mit konkaver Balustrade .	die Querschiffapsiden haben jeweils einen Balkon mit einer konkaven Balustrade .	0.27
the highway intersected Route 25A in Bradford and Route 25 in Wells River .	die Autobahn kreuzte die Route 25A in Bradford und die Route 25 in Wells River .	die Autobahn kreuzte die Route 25A in Bradford und die Route 25 in Wells River .	0.00
Adamec , Ludwig W. Historical dictionary of Afghan wars , revolutions , and insurgencies .	Adamec , Ludwig W. Historisches Wörterbuch afghanischer Kriege , Revolutionen und Aufstände .	Adamec , Ludwig W. Historisches Lexikon der afghanischen Kriege , Revolutionen und Aufstände .	0.21
orchards also extend to the southwest of the homestead .	auch die Obstgärten erstrecken sich südwestlich des Gehöfts .	Obstgärten erstrecken sich auch im Südwesten des Gehöfts .	0.44
on 10 / 11 March , 240 bombers dropped 193 tons of high explosives and 46,000 incendiaries .	am 10. / 11. März warfen 240 Bomber 193 Tonnen Sprengstoff und 46.000 Brandschutzmittel ab .	am 10. , 11. März warfen 240 Bomber 193 Tonnen Sprengstoff und 46.000 Brandstifter ab .	0.12
there may be only one stringer or the stringers otherwise minimized .	es kann nur eine Stringer oder die Stringer sonst minimiert werden .	es kann nur einen Stringer geben oder die Stringer werden sonst minimiert .	0.23
at the Italian Open , Raonic defeated Jérémy Chardy in the quarterfinals to reach his first Masters 1000 semifinal on clay .	bei den Italian Open besiegte Raonic Jérémy Chardy im Viertelfinale , um sein erstes Masters 1000 Halbfinale auf Lehm zu erreichen .	bei den Italian Open , besiegte Raonic Jérémy Chardy in den Viertelfinalen um seinen ersten Master 1000 Vorschlussrunde auf Ton zu erreichen .	0.39
from 1985 to 1987 , Pell served as seminary rector of his alma mater , Corpus Christi College .	von 1985 bis 1987 war Pell Seminarrektor seiner Alma mater , Corpus Christi College .	von 1985 bis 1987 war Pell als Seminarrektor seiner Alma Mater , dem Corpus Christi College , tätig .	0.26
Zehner , Ozzie , Green Illusions , University of Nebraska Press , 2012 .	Zehner , Ozzie , Green Illusions , University of Nebraska Press , 2012 .	Zehner , Ozzie , Grüne Illusionen , Universität der Nebraska-Presse , 2012 .	0.46
Ferdinand deprived the dukes of Mecklenburg from their duchies for their support to Christian IV in February 1627 .	Ferdinand entzog den Herzögen Mecklenburg im Februar 1627 ihre Herzogtümer zur Unterstützung Christian IV ..	Ferdinand beraubte die Herzöge von Mecklenburg im Februar 1627 ihrer Herzogtümer aufgrund ihrer Unterstützung für Christian IV .	0.50
Howe assaulted Washington 's flank and inflicted 1,500 Patriot casualties , with the British suffering 400 .	Howe griff Washingtons Flanke an und verursachte 1500 Patriot-Opfer , darunter 400 Briten .	Howe griff Washingtons Flanke an und verursachte 1.500 Patriot-Opfer , wobei die Briten 400 erlitten .	0.31
Annie Galvin of Slant Magazine found Mars " channeling Little Richard 's raspier inflections . "	Annie Galvin vom Slant Magazine fand Mars " beim Kanalisieren von Little Richards Raspelbiegungen " .	Annie Galvin vom Slant Magazine stellte fest , dass Mars " Little Richards krächzendere Wendungen kanalisiert " .	0.44
much environmental economics concerns externalities or " public bads " .	viel Umweltökonomie betrifft Externalitäten oder " öffentliche Bads " .	ein Großteil der Umweltwirtschaft hat mit externen Effekten oder „ Gemeinschäden “ zu tun .	0.87
when Locke and Eastwood separated in 1989 , Locke filed a palimony lawsuit .	als Locke und Eastwood sich 1989 trennten , reichte Locke eine Palimonieklage ein .	als Locke und Eastwood sich in 1989 trennten , reichte Locke eine Palimony-Klage ein .	0.13
space available for two 21 " torpedo tubes and ten 300 lb .	Platz für zwei 21 " Torpedoröhren und zehn 300 lb .	Platz für zwei 21-Zoll Torpedorohre und zehn 300 lb .	0.30
dreadnoughts frequently carried torpedo tubes themselves .	Dreadnoughts trugen häufig Torpedoröhren selbst .	Dreadnoughts trugen häufig selbst Torpedorohre .	0.33
this subterfuge , however , proved too much for Harry .	diese Unterwanderung erwies sich jedoch als zu viel für Harry .	diese List erwies sich jedoch als zu viel für Harry .	0.09
the yolk provides the liquid nourishment for the embryo caterpillar until it escapes from the shell .	das Eigelb versorgt die Embryonenkatze mit flüssiger Nahrung , bis es aus der Schale entweicht .	das Eigelb liefert die flüssige Nahrung für die Embryo-Raupe , bis sie aus der Schale entweicht .	0.41
after the initial landing , the Cameron Highlanders and the Stormont , Dundas and Glengary Highlanders were landed by Franks .	nach der Landung landeten die Cameron Highlanders und Stormont , Dundas und Glengary Highlanders von Franks .	nach der ersten Landung wurden die Cameron Highlanders und die Stormont- , Dundas- und Glengary Highlanders von Franks gelandet .	0.30
Wurmser retreated to the Tyrol , and Bonaparte resumed the siege .	Wurmser zog sich nach Tirol zurück , und Bonaparte nahm die Belagerung wieder auf .	Wurmser zog sich nach Tirol zurück und Bonaparte nahm die Belagerung wieder auf .	0.07
doom finds Iron Man again and teleports the two to the Jackpot Club in Chicago to confront Madam Masque .	Doom findet Iron Man wieder und teleportiert die beiden in den Jackpot Club in Chicago , um sich mit Mrs Masque zu konfrontieren .	Doom findet Iron Man wieder und teleportiert die beiden zum Jackpot Club in Chicago , um Madam Masque zu konfrontieren .	0.24
in 1895 , Courtney and his Cornell varsity crew competed in the Grand Challenge Cup at the Henley Royal Regatta in England .	im Jahr 1895 , Courtney und seine Cornell Varsity Crew konkurrierte im Grand Challenge Cup bei der Henley Royal Regatta in England .	1895 nahmen Courtney und seine Cornell-Uni-Crew am Grand Challenge Cup bei der Henley Royal Regatta in England teil .	0.47
the phone booth rang while the nominated melted their icecubes .	die Telefonzelle klingelte , während die Nominierten ihre Eiswürfel schmolzen .	die Telefonzelle klingelte , während die Nominierten ihre Eiswürfel zum Schmelzen brachten .	0.23
near Větřní , a dinghy containing three occupants capsized , one of which drowned .	in der Nähe von Větřní , ein Schlauchboot mit drei Insassen gekentert , von denen einer ertrunken .	in der Nähe von Větřní kenterte ein Beiboot mit drei Insassen , von denen einer ertrank .	0.24
some underworld rumours suspect Rodney " The Duke " Collins as one of his killers .	einige Gerüchte der Unterwelt vermuten Rodney " The Duke " Collins als einen seiner Mörder .	einige Gerüchte der Unterwelt verdächtigen Rodney " The Duke " Collins als einen seiner Mörder .	0.06
Roger Rousseau , The French Foreign Legion in Kolwezi , 2006 .	Roger Rousseau , Die französische Fremdenlegion in Kolwezi , 2006 .	Roger Rousseau , die französische fremde Legion in Kolwezi , 2006 .	0.25
Dieter stands for Dispatch and Investment Evaluation Tool with Endogenous Renewables .	Dieter steht für Dispatch and Investment Evaluation Tool mit Endogenen Erneuerbaren Energien .	Dieter steht für Dispatch and Investment Evaluation Tool with Endogenous Renewables ( Werkzeug zur Auswertung der Abfertigung und Investition in Bezug auf endogene , erneuerbare Energien ) .	0.64
she was wrecked at Mogadishu , Somalia in 1963 and scrapped at Split , Yugoslavia in 1965 .	1963 wurde sie in Mogadischu , Somalia , zerstört und 1965 in Split , Jugoslawien , verschrottet .	Sie wurde in Mogadischu , Somalia , im Jahr 1963 und in Split , Jugoslawien im Jahr 1965 verschrottet .	0.40
the total length of dam , wharves , and embankments approached 1.5 mi .	die Gesamtlänge von Damm , Kais und Böschungen näherte sich 1.5 mi .	die Gesamtlänge des Damms , der Kais und der Böschungen betrug annähernd 1,5 Meilen .	0.53
" by aiming at too much ... it loses its elasticity and vigour " .	" durch zu viel ... verliert es seine Elastizität und Kraft " .	" durch das Zielen auf zu viel ... verliert es seine Elastizität und Kraft " .	0.19
in 381 BC , the Romans levied four legions and marched on Satricum .	381 v. Chr. erhoben die Römer vier Legionen und marschierten auf Satricum .	381 v. Chr. Erhoben die Römer vier Legionen und marschierten auf Satricum .	0.08
soon afterwards , the JMA too downgraded Muifa to a Severe Tropical storm .	bald darauf hat die JMA Muifa zu einem schweren Tropensturm herabgestuft .	bald darauf stufte auch die JMA Muifa zu einem schweren Tropensturm herab .	0.23
divide and Conquer depicts German conquests in Denmark , Norway , Luxembourg , Belgium , the Netherlands and France .	Divide and Conquer zeigt deutsche Eroberungen in Dänemark , Norwegen , Luxemburg , Belgien , den Niederlanden und Frankreich .	„ Divide and Conquer “ schildert die deutschen Eroberungen in Dänemark , Norwegen , Luxemburg , Belgien , den Niederlanden und Frankreich .	0.22
another specimen catalogued as TMP94.12.602 bears multiple pathologies .	ein anderes als TMP94.12.602 katalogisiertes Exemplar trägt mehrere Pathologien .	ein anderes als TMP94.12.602 katalogisiertes Exemplar weist mehrere Pathologien auf .	0.18
in Beldeutas , there are rare species of animals such as argali , golden eagle , saker falcon , black stork , eagle owl , and Pallas ’ s cat .	in Beldeutas gibt es seltene Tierarten wie Argali , Goldadler , Bäckerfalke , Schwarzstorch , Adlereule und Pallas Funs Katze .	in Beldeutas gibt es seltene Tierarten wie Argali , Steinadler , Sakerfalke , Schwarzstorch , Uhu und Manul .	0.32
after vanquishing the beast with his sword , Yue discovers a magic glowing spear within a cave and reports back to Zhou .	nachdem Yue das Tier mit seinem Schwert besiegt hatte , entdeckt er einen magisch glühenden Speer in einer Höhle und berichtet Zhou zurück .	nachdem Yue das Tier mit seinem Schwert besiegt hat , entdeckt er einen magisch leuchtenden Speer in einer Höhle und erstattet Zhou Bericht .	0.17
in doubles , she teamed with Serena to win the title .	im Doppel gewann sie gemeinsam mit Serena den Titel .	im Doppel gewann sie gemeinsam mit Serena den Titel .	0.00
the most important birds are the caracara , the condor , the andean toucan , ducks and hummingbirds .	die wichtigsten Vögel sind die Caracara , der Kondor , der Andentoucan , Enten und Kolibris .	die wichtigsten Vögel sind die Caracara , der Kondor , der Andentukan , Enten und Kolibris .	0.06
the Muslims sustained heavy losses before their archers retaliated .	die Muslime erlitten schwere Verluste , bevor ihre Bogenschützen revanchierten .	die Muslime erlitten schwere Verluste , bevor sich ihre Bogenschützen revanchierten .	0.08
in 2006 , Corgan and Chamberlin reconvened to record a new Smashing Pumpkins album , Zeitgeist .	2006 versammelten sich Corgan und Chamberlin erneut , um ein neues Smashing Pumpkins Album Zeitgeist aufzunehmen .	im Jahr 2006 trafen sich Corgan und Chamberlin , um ein neues Album von Smashing Pumpkins , Zeitgeist , aufzunehmen .	0.38
